#,Name,Location,Type,TypeExt,Index,Description
0.01,patient(+),0;1,POINTER,,B,This is the name of the patient.
266,previous cardiac surgery,200;33,SET OF CODES,,,"NSQIP Definition (2004): Any major cardiac surgical procedure (performed either as an 'off-pump' repair or utilizing cardiopulmonary bypass). This includes coronary artery bypass graft surgery, valve replacement or repair, repair of atrial or ventricular septal defects, great vessel repair, cardiac transplant, left ventricular aneurysmectomy, etc."
267,angina,206;18,SET OF CODES,,,"This determines whether the patient has angina. Angina is defined as pain or discomfort between the diaphragm and the mandible resulting from myocardial ischemia usually precipitated by exertion or emotion and relieved by rest or nitroglycerine. The Canadian Cardiovascular Society (CCS) classification is now the most commonly used method to record severity of angina. Record according to the most severe angina in the 14 days before surgery: I - Ordinary physical activity, such as walking or climbing stairs does not cause angina. Angina may occur with strenuous or rapid or prolonged exertion at work or recreation. II - There is slight limitation of ordinary activity. Angina may occur with walking or climbing stairs rapidly, walking uphill, walking or stair climbing after meals or in the cold, in the wind, or under emotional stress, or walking more than two blocks on the level, or climbing more than one flight of stairs under normal conditions at a normal pace. III - There is marked limitation of ordinary physical activity. Angina may occur after walking one or two blocks on the level or climbing one flight of stairs under normal conditions at a normal pace. IV - There is inability to carry on any physical activity without discomfort. Angina may be present at rest."
268,hepatomegaly,200;14,SET OF CODES,,,"This determines whether the patient has the presence of hepatomegaly. Hepatomegaly is defined as enlargement of the liver indicated usually by palpation of the lower border of the liver below the right costal margin or a liver span greater than 10 cm. Hepatomegaly may be noted in acute hepatitis, fatty infiltration, passive congestion, and early biliary obstruction. It is usually noted by the physician under the abdominal portion of the H&P."
270,preoperative serum sodium,201;1,FREE TEXT,,,"This is the result of the preoperative serum sodium test. Data input must be 1 to 5 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
271,preoperative potassium,201;2,NUMERIC,,,This is the result of the preoperative potassium test.
272,date assessment completed,RA;5,DATE-TIME,,,This is the date that the Assessment was completed. This field will be updated if the assessment was transmitted in error.
273,preoperative glucose,201;3,NUMERIC,,,This is the result of the preoperative glucose test.
274,highest serum sodium,203;1,FREE TEXT,,,"This is the highest result of a postoperative serum sodium test for the selected patient. Data input must be 1 to 5 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
275,highest potassium,203;3,FREE TEXT,,,"This is the highest result of a potassium test for the selected patient. Data input must be 1 to 3 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
276,highest glucose,203;5,NUMERIC,,,This is the highest result of a postoperative glucose test for the patient selected.
277,highest serum creatinine,203;6,FREE TEXT,,,"This is the highest postoperative serum creatinine result for the selected patient. Data input must be 1 to 4 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
278,highest cpk,203;7,FREE TEXT,,,"This is the highest result of a postoperative CPK test for the patient selected. Data input must be 1 to 6 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
279,highest cpk-mb,203;8,FREE TEXT,,,"This is the highest result of a postoperative CP-MB Band for this patient. Data input must be 1 to 4 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
280,highest total bilirubin,203;9,FREE TEXT,,,"This is the highest postoperative total bilirubin result recorded for this patient. Data input must be 1 to 5 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
281,highest wbc,203;10,FREE TEXT,,,"This is the highest postoperative WBC for the patient selected. Data input must be 1 to 4 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
282,lowest serum albumin,203;11,NUMERIC,,,This is the lowest postoperative serum albumin result for the patient selected.
283,lowest hematocrit,203;12,FREE TEXT,,,"This is the lowest postoperative hematocrit result recorded for this patient. Data input must be 1 to 4 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
284,assessment type,RA;2,SET OF CODES,,,This determines whether this surgical risk assessment is a cardiac or non-cardiac procedure.
285,on ventilator >48 hours,205;13,SET OF CODES,,,"NSQIP Definition (2004): Total duration of ventilator-assisted respirations during postoperative hospitalization was >48 hours. This can occur at any time during the 30-day period postoperatively. This time assessment is CUMULATIVE, not necessarily consecutive. Ventilator-assisted respirations can be via endotracheal tube, nasotracheal tube, or tracheostomy tube. CICSP Definition (2004): Indicate if the total duration of ventilator-assisted respiration during postoperative hospitalization was greater than or equal to 48 hours."
286,other urinary tract occurrence,205;19,POINTER,,,NSQIP Definition (2004): Enter any other urinary occurrences which you feel to be significant and that are not covered by the predefined urinary tract occurrence categories. Enter the ICD-9-CM code for this entry.
287,peripheral nerve injury,205;23,SET OF CODES,,,"NSQIP Definition (2004): Peripheral nerve damage may result from damage to the nerve fibers, cell body, or myelin sheath during surgery. Peripheral nerve injuries (e.g., motor, sensory, and mixed motor/sensory injury) to the cervical plexus, brachial plexus, ulnar plexus, lumbar-sacral plexus (sciatic nerve), peroneal nerve, and/or the femoral nerve should be included."
288,"preoperative cpk, date",202;6,DATE-TIME,,,This is the date that the preoperative CPK was performed.
289,"preoperative mb band, date",202;7,DATE-TIME,,,This is the date that the preoperative MB Band was performed.
290,"preop serum creatinine, date",202;4,DATE-TIME,,,This is the date that the preoperative Serum Creatinine test was performed.
291,"preoperative bun, date",202;5,DATE-TIME,,,This is the date that the preoperative BUN was performed.
292,"preop serum albumin, date",202;8,DATE-TIME,,,This is the date that the preoperative Serum Albumin test was performed.
293,"sgpt, date performed",202;10,DATE-TIME,,,This is the date that the preoperative SGPT was performed.
294,"sgot, date performed",202;11,DATE-TIME,,,This is the date that the preoperative SGOT was performed.
295,"preop total bilirubin, date",202;9,DATE-TIME,,,This is the date that the preoperative total bilirubin was performed.
296,"preop alk phosphatase, date",202;12,DATE-TIME,,,This is the date that the preoperative alkaline phosphatase test was performed.
297,"preoperative wbc, date",202;13,DATE-TIME,,,This is the date that the preoperative WBC test was performed.
298,"preop platelet count, date",202;15,DATE-TIME,,,This is the date that the preoperative platelet count was performed.
299,"preoperative pt, date",202;17,DATE-TIME,,,This is the date that the preoperative PT test was performed.
300,"preoperative ptt, date",202;16,DATE-TIME,,,This is the date that the preoperative PTT test was performed.
301,"preop hematocrit, date",202;14,DATE-TIME,,,This is the date that the preoperative hematocrit was performed.
302,"preoperative glucose, date",202;3,DATE-TIME,,,This is the date that the preoperative glucose test was performed.
303,"preop potassium, date",202;2,DATE-TIME,,,This is the date that the preoperative potassium test was performed.
304,"preop serum sodium, date",202;1,DATE-TIME,,,This is the date that the preoperative serum sodium test was performed.
305,"high serum sodium, date",204;1,DATE-TIME,,,This is the date that the highest Serum Sodium result was recorded.
306,"high potassium, date",204;3,DATE-TIME,,,This is the date that the highest Potassium result was recorded.
307,"high glucose, date",204;5,DATE-TIME,,,This is the date that the highest Glucose result was recorded.
308,"high serum creatinine, date",204;6,DATE-TIME,,,This is the date that the highest Serum Creatinine result was recorded.
309,"high cpk, date",204;7,DATE-TIME,,,This is the date that the highest CPK result was recorded.
310,"high cpk-mb, date",204;8,DATE-TIME,,,This is the date that the highest CPK-MB Band result was recorded.
311,"high total bilirubin, date",204;9,DATE-TIME,,,This is the date that the highest Total Bilirubin was recorded.
312,"highest wbc, date",204;10,DATE-TIME,,,This is the date that the highest WBC was recorded.
313,"low serum albumin, date",204;11,DATE-TIME,,,This is the date that the lowest Serum Albumin result was recorded.
314,"low hematocrit, date",204;12,DATE-TIME,,,This is the date that the lowest Hematocrit result was recorded.
315,preoperative pt control,201;19,NUMERIC,,,This is the result of the preoperative PT control. Your answer must be between 9 and 15.
316,preoperative ptt control,201;18,NUMERIC,,,This is the preoperative PTT control result. Your answer must be between 15 and 40.
318,respiratory occurrences,205;9,SET OF CODES,,,This determines whether the patient had postoperative respiratory occurrences. A respiratory occurrence is defined as an impairment to the lungs to perform their ventilatory function. This may be due to impairment of gas exchange in the lung or obstruction of the free flow of air to the lung.
319,urinary tract occurrences,205;15,SET OF CODES,,,This determines whether the patient has had postoperative urinary tract occurrences. Urinary tract occurrences are defined as difficulties related to the organs and ducts participating in the secretion and elimination of urine.
320,cns occurrences,205;20,SET OF CODES,,,"This determines whether the patient has had any postoperative central nervous system (CNS) occurrences. These occurrences are defined as difficulties related to the brain and spinal cord, with their nerves and end-organs that control voluntary acts."
321,cardiac occurrences,205;25,SET OF CODES,,,This determines whether the patient has had any postoperative cardiac occurrences. Cardiac occurrences are defined as difficulties encountered involving the cardiac system.
322,other occurrences,205;30,SET OF CODES,,,"This determines whether the patient has had postoperative occurrences, such as Graft/Prosthesis Failure or Unplanned Return to OR, not included in any of the other categories."
323,create risk assessment,RA;6,BOOLEAN,,,"This determines whether a risk assessment will be created for this surgical case. If answered 'NO', the information will automatically be completed so that the information will be transmitted without any additional intervention."
324,drug addiction,200;5,SET OF CODES,,,This determines whether this patient has a history of recreational or narcotic substance abuse. There is no time limit on this data element.
325,dyspnea,200;6,SET OF CODES,,,"NSQIP Definition (2004): The patient describes difficult, painful, or labored breathing. Dyspnea may be symptomatic of numerous disorders that interfere with adequate ventilation or perfusion of the blood with oxygen. The dyspneic patient is subjectively aware of difficulty with breathing. Select one of the following categories that best indicates the patient's subjective experience coupled with your objective assessment: (1) No dyspnea (2) Dyspnea upon moderate exertion (e.g., is unable to climb one flight of stairs without shortness of breath) (3) Dyspnea at rest (e.g., cannot complete a sentence without needing to take a breath) The time frame is at the time the patient is being evaluated for surgery (which should be no longer than 30 days prior to surgery). If the patient's dyspnea status worsens prior to surgery, report the most severe."
326,current pneumonia,200;12,SET OF CODES,,,"NSQIP Definition (2004): Report patients with evidence of pneumonia at the time the patient is brought to the OR. Patients with pneumonia must meet ONE of the following two criteria: Criterion 1. Rales or dullness to percussion on physical examination of chest AND any of the following: a. New onset of purulent sputum or change in character of sputum b. Organism isolate from blood culture c. Isolation of pathogen from specimen obtained by transtracheal aspirate, bronchial brushing, or biopsy OR Criterion 2. Chest radiographic examination shows new or progressive infiltrate, consolidation, cavitation, or pleural effusion AND any of the following: a. New onset of purulent sputum or change in character of sputum b. Organism isolated from the blood c. Isolation of pathogen from specimen obtained by transtracheal aspirate, bronchial brushing, or biopsy d. Isolation of virus or detection of viral antigen in respiratory secretions e. Diagnostic single antibody titer (IgM) or fourfold increase in paired serum samples (IgG) for pathogen f. Histopathologic evidence of pneumonia"
327,active hepatitis,200;17,SET OF CODES,,,"This determines whether the patient has active hepatitis. Active Hepatitis is defined as an active inflammation of the liver evidenced by elevated liver enzymes. The most common causes are viral hepatitis documented by positive serologies (A,B, or C) and recent excessive alcohol intake, or drug induced hepatitis."
328,renal failure,200;38,SET OF CODES,,,"NSQIP Definition (2004): The clinical condition associated with rapid, steadily increasing azotemia (increase in BUN), and a rising creatinine of above 3 mg/dl. Acute renal failure should be noted within 24 hours prior to surgery."
329,revascularization/amputation,200;41,SET OF CODES,,,"NSQIP Definition (2004): Any type of angioplasty or revascularization procedure for atherosclerotic peripheral vascular disease (PVD) (e.g., aorto-femoral, femoral-femoral, femoral-popliteal) or a patient who has had any type of amputation procedure for PVD (e.g., toe amputations, transmetatarsal amputations, below the knee or above the knee amputations). Patients who have had amputation for trauma or a resection of abdominal aortic aneurysms should not be included."
330,rest pain/gangrene (y/n),200;42,SET OF CODES,,,"NSQIP Definition (2004): Rest pain is a more severe form of ischemic pain due to occlusive disease, which occurs at rest and is manifested as a severe, unrelenting pain aggravated by elevation and often preventing sleep. Gangrene is a marked skin discoloration and disruption indicative of death and decay of tissues in the extremities due to severe and prolonged ischemia. Include patients with ischemic ulceration and/or tissue loss related to peripheral vascular disease. Do not include Fournier's gangrene."
331,absent peripheral pulses,200;43,SET OF CODES,,,"This determines whether the patient has been diagnosed on the physical examination to have absent femoral, popliteal, or pedal pulses. If he or she has had a previous amputation, record pulses as present or absent in the remaining limb."
332,impaired sensorium,200;19,SET OF CODES,,,"NSQIP Definition (2004): Patient is acutely confused and/or delirious and responds to verbal and/or mild tactile stimulation. Patients should be noted to have developed an impaired sensorium if they have mental status changes, and/or delirium in the context of the current illness. Patients with chronic or long-standing mental status changes secondary to chronic mental illness (e.g., schizophrenia) or chronic dementing illnesses (e.g., multi-infarct dementia, senile dementia of the Alzheimer's type) should not be included. This assessment of the patient's mental status should be within 48 hours prior to the surgical procedure. If the patient develops impaired sensorium, then progresses to a coma, and remains in a coma entering surgery, report just coma. Example: A patient is admitted to the orthopedics service after a fall with a fractured hip. The patient is also noted to be dehydrated and febrile. He is disoriented to place and time and seems confused. His family reports that he has been oriented and alert prior to the fall. This patient has an impaired sensorium on the basis of his confusion and disorientation. Example: A patient is admitted to the general surgical service with biliary sepsis and high spiking fevers. While febrile, the patient is noted by the clinician to be disoriented and confused. This patient has an impaired sensorium. Example: A long-term resident of a VA nursing home with chronic schizophrenia is admitted for an elective hernia repair. He is noted to have long-standing mental status changes and is chronically disoriented to place, time, and person. Although this patient has disorientation, his mental status changes are long-standing, chronic, and unchanged and would not qualify for ""impaired sensorium."" Note: These examples would apply only if noted within 48 hours prior to surgery"
333,coma,200;21,SET OF CODES,,,"NSQIP Definition (2004): Patient is unconscious, postures to painful stimuli, or is unresponsive to all stimuli entering surgery. This does not include drug-induced coma."
334,history of tia's,200;25,SET OF CODES,,,"NSQIP Definition (2004): Transient ischemic attacks (TIAs) are focal neurologic deficits (e.g. numbness of an arm or amaurosis fugax) of sudden onset and brief duration (usually <30 minutes), which usually reflect dysfunction in a cerebral vascular distribution. These attacks may be recurrent and, at times, may precede a stroke."
335,cva/stroke with neuro deficit,200;26,SET OF CODES,,,"NSQIP Definition (2004): History of a cerebrovascular accident (embolic, thrombotic, or hemorrhagic) with persistent residual motor, sensory, or cognitive dysfunction. (e.g., hemiplegia, hemiparesis, aphasia, sensory deficit, impaired memory). If the neurological deficit is hemiplegia/hemiparesis, also enter YES to Hemiplegia/Hemiparesis in addition to CVA/Stroke."
336,cva/stroke - no neuro deficit,200;27,SET OF CODES,,,"NSQIP Definition (2004): History of a cerebrovascular accident (embolic, thrombotic, or hemorrhagic) with neurologic deficit(s) lasting at least 30 minutes, but no current residual neurologic dysfunction or deficit."
337,neuro degenerative disease,200;28,SET OF CODES,,,"This determines whether the patient has neuromuscular degenerative disease. It is defined as any of a number of congenital, hereditary, or acquired diseases resulting in chronic neurological deficits. Common examples of these diseases include muscular dystrophy, amyotrophic lateral sclerosis (ALS or 'Lou Gerhig's Disease'), multiple sclerosis, and poliomyelitis."
338,disseminated cancer (y/n),200;45,SET OF CODES,,,"NSQIP Definition (2004): Patients who have cancer that: (1) Has spread to one site or more sites in addition to the primary site AND (2) In whom the presence of multiple metastases indicates the cancer is widespread, fulminant, or near terminal. Other terms describing disseminated cancer include ""diffuse,"" ""widely metastatic,"" ""widespread,"" or ""carcinomatosis"", or AJCC ""Stage IV"" cancer. Common sites of metastases include major organs (e.g., brain, lung, liver, meninges, abdomen, peritoneum, pleura, bone). Report Acute Lymphocytic Leukemia (ALL) and Acute Myelogenous Leukemia (AML) under this variable. Do not report Chronic Lymphocytic Leukemia (CLL), Chronic Myelogenous Leukemia (CML) or Lymphoma as disseminated cancer. Example: A patient with a primary breast cancer with positive nodes in the axilla does NOT qualify for this definition. She has spread of the tumor to a site other than the primary site, but does not have widespread metastases. A patient with primary breast cancer with positive nodes in the axilla AND liver metastases does qualify, because she has both spread of the tumor to the axilla and other major organs. Example: A patient with colon cancer and no positive nodes or distant metastases does NOT qualify. A patient with colon cancer and several local lymph nodes positive for tumor, but no other evidence of metastatic disease does NOT qualify. A patient with colon cancer with liver metastases and/or peritoneal seeding with tumor does qualify. Example: A patient with adenocarcinoma of the prostate confined to the capsule does NOT qualify. A patient with prostate cancer that extends through the capsule of the prostate only does NOT qualify. A patient with prostate cancer with bony metastases DOES qualify."
338.1,chemotherapy in last 30 days,206;3,SET OF CODES,,,"NSQIP Definition (2004): Enter ""YES"" if the patient had any chemotherapy treatment for cancer in the 30 days prior to surgery. Chemotherapy may include, but is not restricted to, oral and parenteral treatment with chemotherapeutic agents for malignancies such as colon, breast, lung, head and neck, and gastrointestinal solid tumors as well as lymphatic and hematopoietic malignancies such as lymphoma, leukemia, and multiple myeloma. Do not count if treatment consists solely of hormonal therapy. (See Operations Manual for list of chemotherapeutic agents.)"
338.2,radiotherapy in last 90 days,206;4,SET OF CODES,,,"NSQIP Definition (2004): Enter ""YES"" if the patient had any radiotherapy treatment for cancer in the 90 days prior to surgery. If the patient had radiation seeds implanted, count if implantation is within 90 days prior to the operation."
339,steroid use for chronic cond.,200;47,SET OF CODES,,,"NSQIP Definition (2004): Patient has required the regular administration of oral or parenteral corticosteroid medications (e.g., Prednisone, Decadron) in the 30 days prior to admission for a chronic medical condition (e.g., COPD, asthma, rheumatologic disease, rheumatoid arthritis, inflammatory bowel disease). Do not include topical corticosteroids applied to the skin or corticosteroids administered by inhalation or rectally. Do not include patients who only receive short course steroids (duration 10 days or less) in the 30 days prior to surgery. (See list of corticosteroids in Operations Manual.)"
340,intraop rbc units transfused,200;54,FREE TEXT,,,"NSQIP Definition (2004): Indicate the number of packed or whole red blood cells given during the operative procedure as it appears on the anesthesia record. The amount of blood reinfused from the cell saver should also be noted here. For a cell saver, every 500 cc's of fluid will equal 1 unit of packed cells. If there is less than 250 cc of fluid, enter 0."
341,30 day postop status,205;2,SET OF CODES,,,"This is the patient's status 30 days postoperatively. Please select one of the following categories. 1. Discharged alive to home, nursing home, rehabilitation, or psychiatric facility 2. Died in Hospital perioperatively or postoperatively 3. Still in your VAMC facility in the ICU, on a medical-surgical floor, or undergoing rehabilitation therapy. 4. Transferred to the ICU or acute care floor of another VAMC facility from your VAMC without going home 5. Patient was discharged home, but was readmitted to any hospital within 30 days postoperatively due to a postoperative complication as confirmed by the Chief Surgical Resident, Principle Investigator, or Chief of Surgery. If the patient was readmitted due to a postoperative complication, please enter the information in the outcome section of the assessment."
342,date of death,205;3,DATE-TIME,,,"If the patient has died, this is the date of death."
343,other cns occurrence,205;24,POINTER,,,"NSQIP Definition (2004): Enter any other neurologic related occurrences, which you feel to be significant and that are not covered by the predefined CNS occurrence categories. Enter the ICD-9-CM code for this entry."
344,other cardiac occurrence,205;29,POINTER,,,NSQIP Definition (2004): Enter any other cardiac related surgical occurrences which you feel to be significant and that are not covered by the predefined occurrence categories. Enter the ICD-9-CM code for this entry.
345,ileus/bowel obstruction,205;31,SET OF CODES,,,"This determines whether the patient has prolonged ileus or bowel obstruction. Ileus is obstruction of the intestines from a variety of causes including mechanical obstruction, peritonitis, adhesions, or post surgically as a result of functional dysmotility by the bowel. Bowel obstruction is any hindrance to the passage of the intestinal contents. Prolonged ileus or obstruction is defined as persisting longer than 5 days postoperatively."
346,diabetes,200;2,SET OF CODES,,,"NSQIP Definition (2004): Diabetes mellitus is a metabolic disorder of the pancreas whereby the individual requires daily dosages of exogenous parenteral insulin or an oral hypoglycemic agent to prevent a hyperglycemic/metabolic acidosis. Report the treatment regimen of the patient's chronic, long-term management. Do not include a patient if diabetes is controlled by diet alone. No: No diagnosis of diabetes or diabetes controlled by diet alone Oral: A diagnosis of diabetes requiring therapy with an oral hypoglycemic agent (see list of oral hypoglycemic agents in Operations Manual) Insulin: A diagnosis of diabetes requiring daily insulin therapy (see list of insulin therapy agents in Operations Manual)"
347,fev1,206;5,FREE TEXT,,,This is the forced expiratory volume in one second from the most recent pulmonary function test prior to surgery. Enter 'NS' if there has been no pulmonary function tests in the preceding year.
348,pulmonary rales,206;7,BOOLEAN,,,"CICSP Definition (2004): Indicate if the chart documents rales not clearing with cough (and not due to pneumonic process) heard within two weeks before surgery. Do not include rales that clear with coughing, as these are usually due to atelectasis and carry a much more benign connotation. Please note, crackles are another common approach to noting that rales are present."
349,active endocarditis,206;10,BOOLEAN,,,"CICSP Definition (2004): Indicate if the patient is being treated with antibiotics for active infection on or near a cardiac valve at the time of surgery or within 2 weeks prior to surgery. Endocarditis is defined as two or more blood cultures positive for the same organism, usually with evidence of a valvular vegetation or valve dysfunction by cardiac ultrasound. In the absence of positive blood cultures, there should be clear evidence of valve infection and/or destruction by ultrasound or direct observation at surgery with subsequent histologic confirmation."
350,resting st depression,206;11,BOOLEAN,,,"This determines whether the patient has a ST-segment depression greater than or equal to 1 mm in any lead on standard resting electrocardiogram (ECG), and/or ECG diagnosis of subendocardial ischemia, left ventricular strain, or left ventricular hypertrophy with repolarization abnormality."
351,pci,206;13,SET OF CODES,,,"CICSP Definition (2004): Indicate whether/when the patient had a percutaneous coronary intervention (PCI) prior to surgery. Previously, this data field was listed as a percutaneous transluminal coronary angiography (PTCA) [e.g., balloon angioplasty, directional coronary atherectomy (DCA), transluminal extraction catheter (TEC), stent, rotoblader, etc.] Indicate the one appropriate response, even if the procedure was not fully successful."
352,num of prior heart surgeries,206;15,SET OF CODES,,,"CICSP Definition (2004): Indicate the number of previous heart surgeries the patient has had upon current admission, by referencing the patient history. The prior heart surgery/ies would have occurred during a separate hospitalization (more than 30 days prior to current surgery). Both on and off-pump cardiac surgical procedures should be considered. Count all surgical procedures performed during separate hospital admissions (not the number of grafts, and not additional procedures performed during the same admission due to a postoperative occurrence). Indicate the one appropriate response: 0, 1, 2, 3, >3."
353,current diuretic use,206;20,BOOLEAN,,,This determines whether the patient has used any diuretic preparation within the two weeks prior to surgery.
354,current digoxin use,206;21,BOOLEAN,,,"This determines whether the patient has used a digitalis preparation (digoxin, Lanoxin, digitoxin, ect.) within the two weeks prior to surgery."
355,iv ntg within 48 hours,206;22,BOOLEAN,,,This determines whether the patient was administered nitroglycerin intravenously within 48 hours prior to surgery.
356,preoperative use of iabp,206;23,BOOLEAN,,,This determines whether there was any use of an intra-aortic balloon pump (IABP) within the two weeks prior to surgery.
357,lvedp,206;24,FREE TEXT,,,"CICSP Definition (2004): Indicate the patient's left ventricular end-diastolic pressure measured following the a-wave (if present) at the cardiac catheterization most recent prior to surgery. If LVEDP was not measured, entering ""NS"" for ""No Study/Unknown"" is also allowed."
358,aortic systolic pressure,206;25,FREE TEXT,,,"CICSP Definition (2004): Indicate the patient's aortic systolic pressure measured prior to left ventricular angiography at the catheterization most recent prior to surgery. If aortic systolic pressure was not measured, entering ""NS"" for ""No Study/Unknown"" is also allowed."
359,pa systolic pressure,206;26,FREE TEXT,,,"CICSP Definition (2004): For patients having a right heart catheterization, indicate the patient's pulmonary artery (PA) systolic pressure at the catheterization most recent prior to surgery. PA pressures obtained in the operating room prior to surgery are acceptable if they are obtained prior to anesthesia induction. If no right heart catheterization performed, entering ""NS"" for ""No Study/Unknown"" is also allowed."
360,paw mean pressure,206;27,FREE TEXT,,,"CICSP Definition (2004): For patients having a right heart catheterization, indicate the patient's mean pulmonary artery wedge (PAW) [also called pulmonary capillary] pressure or left atrial pressure measured at the catheterization most recent prior to surgery. PAW pressures obtained in the operating room prior to surgery are acceptable if they are obtained prior to anesthesia induction. If no right heart or transseptal catheterization performed, entering ""NS"" for ""No Study/Unknown"" is also allowed."
361,left main stenosis,206;28,FREE TEXT,,,"CICSP Definition (2004): Indicate the most severe percent diameter reduction of the left main coronary artery, including its most distal portion. If there is no obstruction of the left main coronary artery, indicate zero. Entering ""NS"" for ""No Study/Unknown"" is also allowed."
362,coronaries with stenosis,206;29,NUMERIC,,,"This is the category corresponding to the number of major coronaries with stenosis greater than or equal to 50%. The categories are as follows. 0 - no stenosis in any coronary artery greater than or equal to 50% (exclude diagonals) 1 - one or more stenoses greater than or equal to 50% in the left anterior descending (does not include diagonals) or, circumflex (circumflex includes the marginal branches and ramus intermedius), or the right (right includes the posterior descending even if a branch of the circumflex) 2 - Stenoses greater than or equal to 50% in the left main coronary artery, or the left anterior descending (does not include diagonals) and the right (right includes the posterior descending even if a branch of the circumflex), or the left anterior descending (does not include diagonals) and circumflex (circumflex includes the marginals and ramus intermedius), or the circumflex (circumflex includes the marginals and ramus intermedius) and the right (right includes the posterior descending even if a branch of the circumflex) 3 - Stenoses greater than or equal to 50% in the left anterior descending (does not include diagonals) and the circumflex (circumflex includes the marginals and ramus intermedius) and right (right includes the posterior descending even if a branch of the circumflex) or left main and right (right includes the posterior descending even if a branch of the circumflex)"
362.1,lad stenosis,206;33,FREE TEXT,,,"CICSP Definition (2004): Indicate the most severe percent stenosis in the left anterior descending coronary artery. Synonyms for this artery include: LAD, AD, and anterior descending (but does not include the diagonals). If there is no obstruction of the LAD, indicate zero. Entering ""NS"" for ""No Study/Unknown"" is also allowed."
362.2,right coronary stenosis,206;34,FREE TEXT,,,"CICSP Definition (2004): Indicate the most severe percent stenosis in the right coronary artery. Include the proximal third of the posterior descending coronary artery. The right coronary artery initially runs in the groove between the right ventricle and right atrium; it usually gives off branches to both the right and left ventricles and the right atrium. The branches to the right atrium (sinus node artery) and right ventricle (conus branch and acute marginal branches) are commonly ignored when describing coronary artery disease. However, the right coronary artery is the most common source for the posterior descending coronary artery and often gives-off branches to the posterior-lateral free wall of the left ventricle. These are often known as left ventricular extension branches and are considered branches of the circumflex for the coding of severity of coronary disease. If there is no obstruction of these coronary arteries, indicate zero. Entering ""NS"" for ""No Study/Unknown"" is also allowed."
362.3,circumflex stenosis,206;35,FREE TEXT,,,"CICSP Definition (2004): Indicate the most severe percent stenosis in the circumflex coronary artery, including marginal branches and ramus intermedius considered to be of adequate size for bypass grafting. Both the anatomy and nomenclature for describing the circumflex coronary artery can be confusing -- in part, because of the marked variability from patient to patient. The true circumflex lies in the groove separating the left atrium from the left ventricle (A-V groove) for a variable distance following its origination from the left main coronary artery. Typically, it gives-off one or more branches that leave the A-V groove to supply the posterior-lateral free wall of the left ventricle. These are known as marginal branches. A few patients have a branch to the posterior-lateral free wall of the left ventricle arising exactly at the bifurcation of the left main coronary artery into the left anterior descending coronary artery and the circumflex coronary artery. Strictly speaking, this vessel is neither a diagonal branch of the left anterior descending coronary artery nor a marginal branch of the circumflex coronary artery. This is often called the ""ramus intermedius"" or ""trifurcation branch"". If there is no obstruction of these coronary arteries, indicate zero. Entering ""NS"" for ""No Study/Unknown"" is also allowed."
363,lv contraction score,206;30,SET OF CODES,,,"CICSP Definition (2004): Indicate the left ventricular contraction grade, where the function is assessed from the preoperative contrast ventriculogram, radionuclide angiogram, or 2-D echocardiogram. If ejection fraction is available, indicate the corresponding grade; otherwise, indicate the grade that qualitatively reflects left ventricular function. Ejection fraction is defined as the proportion of blood that is ejected during each ventricular contraction compared with the total ventricular filling volume. Indicate the one most appropriate response: I - Ejection fraction >= 0.55 or narrative reports indicating normal left ventricular function. II - Ejection fraction range from 0.45 to 0.54 or narrative report indicating mild left ventricular dysfunction. IIIa - Ejection fraction range from 0.40 to 0.44 or narrative report indicating moderate left ventricular dysfunction. If ""moderate"" is the only rating available, select this category. IIIb - Ejection fraction range from 0.35 to 0.39 or narrative report indicating moderately severe left ventricular dysfunction. IV - Ejection fraction range from 0.25 to 0.34 or narrative report indicating severe left ventricular dysfunction. V - Ejection fraction < 0.25 or narrative report indicating very severe left ventricular dysfunction. NS - If unable to make an assessment of the patient's left ventricular contraction grade or no study was performed, entering ""NS"" for ""No Study/Unknown"" is also allowed."
364,estimate of mortality,206;31,NUMERIC,,,"This is the physician's (cardiologist or cardiac surgeon) subjective estimate of operative mortality based on the assessment of the total clinical picture. (To avoid bias introduced by knowledge of outcome, this must be completed preoperatively. Do not calculate from the computer program provided to you.)"
364.1,"estimate of mortality, date",206;32,DATE-TIME,,,This is the date and time that the estimate of mortality information was collected.
